ticker,company_name,cik,sector,quarter_end_date,fiscal_year,fiscal_quarter,revenue,net_income,total_assets,total_liabilities,stockholders_equity,shares_outstanding,close_price_asof,cpi_level,cpi_yoy,unemployment_rate,book_value_per_share,earnings_per_share,market_cap,roe,roa,debt_to_assets,profit_margin,price_to_book,price_to_earnings,pb_quarter_median,valuation_label
AAPL,Apple Inc,320193,Technology,2019-03-31,2019,Q1,58015000000.0,11561000000.0,341998000000.0,236138000000.0,105860000000.0,4715280000.0,45.3445,254.202,,3.8,22.450416518213128,2.451816223002664,213812013959.99997,0.10921027772529757,0.033804291253165225,0.6904660261171118,0.19927604929759546,2.0197620816172304,18.494249109938583,4.278058638499007,0
AAPL,Apple Inc,320193,Technology,2019-06-30,2019,Q2,53809000000.0,10044000000.0,322239000000.0,225783000000.0,96456000000.0,4601075000.0,47.4296,256.143,,3.6,20.963796504077852,2.182968110713257,218227146820.0,0.10413038069171436,0.0311694115237448,0.7006693789392345,0.18666022412607555,2.2624527952641618,21.72711537435285,4.43836233991946,0
AAPL,Apple Inc,320193,Technology,2019-09-30,2019,Q3,260174000000.0,55256000000.0,338516000000.0,248028000000.0,90488000000.0,4519180000.0,53.8766,256.759,,3.5,20.023101536119384,12.226996933071929,243478053188.00003,0.6106445053487756,0.16323009842961633,0.7326921031797611,0.21238094505984456,2.6907220094156132,4.406364072462719,4.291921516063829,0
AAPL,Apple Inc,320193,Technology,2019-12-31,2019,Q4,91819000000.0,22236000000.0,340618000000.0,251087000000.0,89531000000.0,4443265000.0,70.8488,256.974,,3.6,20.149822259082004,5.004428050093794,314799993332.0,0.24836090292747764,0.06528134156151466,0.7371512955862579,0.2421720994565395,3.51610049404117,14.157222222162257,4.711272260190797,0
AAPL,Apple Inc,320193,Technology,2020-03-31,2020,Q1,58313000000.0,11249000000.0,320400000000.0,241975000000.0,78425000000.0,4375480000.0,61.4987,258.115,1.5393269919198094,4.4,17.923747794527685,2.570917933575288,269086331876.0,0.1434364042078419,0.03510923845193508,0.7552278401997503,0.1929072419529093,3.431129510691744,23.920911358876342,4.132023433637685,0
AAPL,Apple Inc,320193,Technology,2020-06-30,2020,Q2,59685000000.0,11253000000.0,317344000000.0,245062000000.0,72282000000.0,4334335000.0,88.4645,257.797,0.6457330475554857,11.0,16.676606676687427,2.5962460215927012,383434778607.5,0.15568191250933844,0.03545994252294041,0.7722282444287587,0.18853983412917819,5.304706269991145,34.074005030436325,4.738882958015099,1
AAPL,Apple Inc,320193,Technology,2020-09-30,2020,Q3,274515000000.0,57411000000.0,323888000000.0,258549000000.0,65339000000.0,4275634000.0,112.533,260.28,1.3713248610564666,7.8,15.281710267997681,13.42748233361415,481149920922.0,0.8786635853012749,0.1772557180259843,0.7982666847799239,0.20913611278072236,7.363900900258652,8.380796727491248,5.293485366260736,1
AAPL,Apple Inc,320193,Technology,2020-12-31,2020,Q4,111439000000.0,28755000000.0,354054000000.0,287830000000.0,66224000000.0,17001802000.0,129.171,260.474,1.3620054947193203,6.7,3.8951165294125882,1.6912913113562904,2196139766141.9998,0.43420814206330033,0.0812164246131946,0.8129550859473413,0.25803354301456405,33.1622941251208,76.37418765925925,5.73249550399329,1
AAPL,Apple Inc,320193,Technology,2021-03-31,2021,Q1,89584000000.0,23630000000.0,337158000000.0,267980000000.0,69178000000.0,16788096000.0,119.085,264.877,2.619762508959189,6.1,4.120657875675717,1.4075449651943854,1999210412160.0,0.3415825840585157,0.07008583512774426,0.7948202326505673,0.2637747812109305,28.89951158113851,84.60475717985611,6.317200851854883,1
AAPL,Apple Inc,320193,Technology,2021-06-30,2021,Q2,81434000000.0,21744000000.0,329840000000.0,265560000000.0,64280000000.0,16687631000.0,133.756,271.696,5.391451413321335,5.9,3.8519547801602276,1.3030010071531424,2232070772036.0,0.3382700684505289,0.06592287169536745,0.8051176327916566,0.2670137780288332,34.72418749278158,102.65226140710081,5.3275210694343125,1
